loss,accuracy,val_loss,val_accuracy
0.29685714840888977,0.9109700322151184,0.2788814604282379,0.9089152812957764
0.2722701132297516,0.9117980599403381,0.26849624514579773,0.9097433090209961
0.2602715790271759,0.9125341176986694,0.26022154092788696,0.9130554795265198
0.2493147850036621,0.9153556227684021,0.25612515211105347,0.9133315086364746
0.24292519688606262,0.9162142872810364,0.2584420442581177,0.9136074781417847
0.23296526074409485,0.9207532405853271,0.25556880235671997,0.9149875640869141
0.2252521514892578,0.9227772951126099,0.2577877342700958,0.9141595363616943
0.2158224731683731,0.9249240756034851,0.2657085359096527,0.914711594581604
0.20970028638839722,0.9271321892738342,0.28870856761932373,0.9155396223068237
0.19902460277080536,0.9305363893508911,0.2625904679298401,0.9163676500320435
0.19287054240703583,0.9334192276000977,0.25671711564064026,0.9149875640869141
0.18564942479133606,0.9360873699188232,0.2622626721858978,0.9169197082519531
0.17789503931999207,0.938970148563385,0.27244746685028076,0.9158156514167786
0.170818030834198,0.9411169290542603,0.2763085961341858,0.9169197082519531
0.1658989042043686,0.9429876804351807,0.2626575827598572,0.9191278219223022
0.15844081342220306,0.9459625482559204,0.2903658449649811,0.917471706867218
0.1510516107082367,0.9472506046295166,0.3097667396068573,0.9229919910430908
0.14573892951011658,0.949121356010437,0.3128100633621216,0.9180237650871277
0.14279480278491974,0.9513294696807861,0.30171993374824524,0.919955849647522
0.13426917791366577,0.9542429447174072,0.35332563519477844,0.9182997345924377
