loss,accuracy,val_loss,val_accuracy
0.2565855383872986,0.9151715636253357,0.2200128436088562,0.9207838773727417
0.1911393404006958,0.9302603602409363,0.1927192658185959,0.9318244457244873
0.14280368387699127,0.9491519927978516,0.19660665094852448,0.9274082183837891
0.10099200904369354,0.9646088480949402,0.20646381378173828,0.9362406730651855
0.06729700416326523,0.9768454432487488,0.22535763680934906,0.9274082183837891
0.03876519948244095,0.9869353175163269,0.2560267448425293,0.9395528435707092
0.02208406664431095,0.9925782680511475,0.30041608214378357,0.9378967881202698
0.015883710235357285,0.9947250485420227,0.3382852077484131,0.9398288726806641
0.012748874723911285,0.9961051344871521,0.4014992415904999,0.9384487867355347
0.011429076083004475,0.996166467666626,0.4018014371395111,0.9343085885047913
0.004607136826962233,0.9988039135932922,0.4111384451389313,0.9365167021751404
0.00862322747707367,0.9974238872528076,0.45327675342559814,0.9340325593948364
0.004157424438744783,0.9988039135932922,0.48916155099868774,0.9381727576255798
0.006281982641667128,0.9980065822601318,0.5270882844924927,0.9370687007904053
0.0069748396053910255,0.9980679154396057,0.49124059081077576,0.9378967881202698
0.005751600954681635,0.9982519149780273,0.5432210564613342,0.940380871295929
0.0007284340681508183,0.9999079704284668,0.5697234869003296,0.9381727576255798
0.00019815017003566027,0.9999693036079407,0.6208779215812683,0.9409329295158386
0.007909118197858334,0.9971784949302673,0.5168582797050476,0.9384487867355347
0.0033151477109640837,0.9989572763442993,0.611843466758728,0.9392768144607544
